"user_id","total_claims","approved_claims","rejected_claims","flagged_claims","last_claim_status","risk_notes"
"user_001","2","1","0","1","supported",""
"user_003","0","0","0","0","",""
"user_004","1","1","0","0","supported",""
"user_005","4","0","3","1","rejected","Multiple rejected claims"
"user_006","0","0","0","0","",""
"user_007","1","1","0","0","supported",""
"user_008","3","1","1","1","rejected","Prior manipulation flag"
"user_009","0","0","0","0","",""
"user_010","0","0","0","0","",""
"user_011","1","1","0","0","supported",""
"user_014","0","0","0","0","",""
"user_015","0","0","0","0","",""
"user_016","0","0","0","0","",""
"user_017","0","0","0","0","",""
"user_018","2","0","2","0","rejected","Prior device claims all rejected"
"user_019","0","0","0","0","",""
"user_020","2","0","1","1","rejected","Prior trackpad claim flagged"
"user_022","0","0","0","0","",""
"user_025","0","0","0","0","",""
"user_026","0","0","0","0","",""
"user_027","0","0","0","0","",""
"user_028","0","0","0","0","",""
"user_029","0","0","0","0","",""
"user_030","2","1","1","0","supported",""
"user_031","3","2","0","1","supported","Prior package claims"
"user_032","1","0","1","0","rejected","Prior missing contents claim"
"user_033","4","0","3","1","rejected","Severity exaggeration history"
"user_034","5","1","3","1","rejected","Multiple repeat claims"
"user_036","0","0","0","0","",""
"user_037","0","0","0","0","",""
"user_038","0","0","0","0","",""
"user_039","0","0","0","0","",""
"user_040","0","0","0","0","",""
"user_041","0","0","0","0","",""
"user_042","0","0","0","0","",""
"user_043","0","0","0","0","",""
"user_044","0","0","0","0","",""
"user_045","0","0","0","0","",""
"user_046","0","0","0","0","",""
"user_047","0","0","0","0","",""
